Time,GPS Speed
22.75,0.0388
22.8,0.0463
22.85,0.0565
22.9,0.0713
22.95,0.1379
23,0.289
23.05,0.3356
23.1,0.2116
23.15,0.1188
23.2,0.0769
23.25,0.058
23.3,0.0766
23.35,0.0919
23.4,0.1019
23.45,0.108
23.5,0.108
23.55,0.108
23.6,0.108
23.65,0.1439
23.7,0.2383
23.75,0.2687
23.8,0.1944
23.85,0.1848
23.9,0.2804
23.95,0.3126
24,0.2413
24.05,0.1716
24.1,0.1041
24.15,0.0624
24.2,0.0624
24.25,0.0761
24.3,0.1123
24.35,0.1307
24.4,0.1203
24.45,0.1365
24.5,0.1963
24.55,0.218
24.6,0.1777
24.65,0.2026
24.7,0.3338
24.75,0.406
24.8,0.382
24.85,0.3842
24.9,0.429
24.95,0.46
25,0.4683
25.05,0.447
25.1,0.3771
25.15,0.4089
25.2,0.6065
25.25,0.7139
25.3,0.6745
25.35,0.6479
25.4,0.6424
25.45,0.6892
25.5,0.8215
25.55,0.8933
25.6,0.8664
25.65,0.8282
25.7,0.7718
25.75,0.7734
25.8,0.8695
25.85,0.9411
25.9,0.9728
25.95,0.9995
26,1.0181
26.05,1.0093
26.1,0.9559
26.15,0.9728
26.2,1.1046
26.25,1.2077
26.3,1.2637
26.35,1.286
26.4,1.2533
26.45,1.272
26.5,1.3749
26.55,1.4144
26.6,1.3505
26.65,1.2929
26.7,1.2454
26.75,1.2024
26.8,1.1664
26.85,1.1279
26.9,1.0852
26.95,1.0243
27,0.9336
27.05,0.8627
27.1,0.8241
27.15,0.79
27.2,0.7631
27.25,0.79
27.3,0.9044
27.35,0.9362
27.4,0.8334
27.45,0.8274
27.5,0.9796
27.55,1.0212
27.6,0.8822
27.65,0.8521
27.7,0.9994
27.75,1.0987
27.8,1.1197
27.85,1.122
27.9,1.0939
27.95,1.0329
28,0.9183
28.05,0.9062
28.1,1.061
28.15,1.1224
28.2,1.0312
28.25,0.9984
28.3,1.0609
28.35,1.1217
28.4,1.1799
28.45,1.122
28.5,0.8744
28.55,0.6877
28.6,0.6002
28.65,0.5223
28.7,0.46
28.75,0.3734
28.8,0.2471
28.85,0.2013
28.9,0.2867
28.95,0.3156
29,0.2522
29.05,0.2074
29.1,0.1927
29.15,0.164
29.2,0.1124
29.25,0.0846
29.3,0.0952
29.35,0.1071
29.4,0.1211
29.45,0.1636
29.5,0.2525
29.55,0.2812
29.6,0.2119
29.65,0.1561
29.7,0.1226
29.75,0.1018
29.8,0.1018
29.85,0.1146
29.9,0.1481
29.95,0.187
30,0.2349
30.05,0.231
30.1,0.1429
30.15,0.102
30.2,0.1384
30.25,0.1472
30.3,0.1108
30.35,0.1012
30.4,0.1356
30.45,0.1518
30.5,0.1382
30.55,0.1298
30.6,0.1298
30.65,0.1307
30.7,0.1332
30.75,0.1659
30.8,0.2481
30.85,0.2833
30.9,0.2417
30.95,0.216
31,0.216
31.05,0.1903
31.1,0.1225
31.15,0.0857
31.2,0.0995
31.25,0.1121
31.3,0.123
31.35,0.1245
31.4,0.1105
31.45,0.0992
31.5,0.0924
31.55,0.0833
31.6,0.0704
31.65,0.0673
31.7,0.0802
31.75,0.0867
31.8,0.0829
31.85,0.0879
31.9,0.1073
31.95,0.1135
32,0.0979
32.05,0.1248
32.1,0.2213
32.15,0.2676
32.2,0.232
32.25,0.1956
32.3,0.158
32.35,0.1347
32.4,0.1347
32.45,0.1347
32.5,0.1347
32.55,0.1244
32.6,0.0973
32.65,0.0857
32.7,0.0995
32.75,0.1091
32.8,0.112
32.85,0.0991
32.9,0.0601
32.95,0.0445
33,0.0667
33.05,0.0846
33.1,0.0952
33.15,0.0962
33.2,0.0812
33.25,0.0839
33.3,0.1153
33.35,0.1397
33.4,0.1528
33.45,0.1472
33.5,0.1108
33.55,0.0811
33.6,0.0625
33.65,0.0549
33.7,0.0655
33.75,0.0736
33.8,0.0779
33.85,0.0652
33.9,0.025
33.95,0.0282
34,0.1024
34.05,0.1419
34.1,0.1246
34.15,0.1236
34.2,0.1491
34.25,0.1657
34.3,0.1677
34.35,0.1614
34.4,0.1419
34.45,0.1268
34.5,0.1188
34.55,0.1138
34.6,0.1138
34.65,0.1019
34.7,0.0704
34.75,0.0531
34.8,0.0588
34.85,0.071
34.9,0.0938
34.95,0.1012
35,0.0832
35.05,0.0751
35.1,0.0832
35.15,0.0783
35.2,0.0522
35.25,0.0388
35.3,0.0463
35.35,0.0481
35.4,0.0406
35.45,0.0292
35.5,0.0112
35.55,0
35.6,0
35.65,0.0349
35.7,0.1267
35.75,0.1692
35.8,0.1314
35.85,0.1157
35.9,0.1359
35.95,0.1299
36,0.0811
36.05,0.0531
36.1,0.0588
36.15,0.0505
36.2,0.0193
36.25,0
36.3,0
36.35,0
36.4,0
36.45,0
36.5,0
36.55,0
36.6,0
36.65,0
36.7,0
36.75,0
36.8,0
36.85,0
36.9,0
36.95,0.0153
37,0.0555
37.05,0.0942
37.1,0.1303
37.15,0.1431
37.2,0.1176
37.25,0.0962
37.3,0.0812
37.35,0.068
37.4,0.0574
37.45,0.0668
37.5,0.1087
37.55,0.1259
37.6,0.1026
37.65,0.0783
37.7,0.0522
37.75,0.041
37.8,0.0542
37.85,0.0624
37.9,0.0624
37.95,0.0624
38,0.0624
38.05,0.084
38.1,0.141
38.15,0.1711
38.2,0.1571
38.25,0.1299
38.3,0.0811
38.35,0.0481
38.4,0.0406
38.45,0.036
38.5,0.036
38.55,0.0292
38.6,0.0112
38.65,0
38.7,0
38.75,0
38.8,0
38.85,0.0097
38.9,0.0351
38.95,0.0565
39,0.0713
39.05,0.072
39.1,0.0498
39.15,0.0388
39.2,0.0463
39.25,0.0531
39.3,0.0588
39.35,0.0624
39.4,0.0624
39.45,0.0573
39.5,0.0442
39.55,0.0388
39.6,0.0463
39.65,0.0565
39.7,0.0713
39.75,0.0652
39.8,0.025
39.85,0
39.9,0
39.95,0
40,0
40.05,0
40.1,0
40.15,0
40.2,0
40.25,0.0097
40.3,0.0351
40.35,0.0481
40.4,0.0406
40.45,0.0292
40.5,0.0112
40.55,0
40.6,0
40.65,0
40.7,0
40.75,0
40.8,0
40.85,0
40.9,0
40.95,0
41,0
41.05,0
41.1,0
41.15,0
41.2,0
41.25,0
41.3,0
41.35,0
41.4,0
41.45,0
41.5,0
41.55,0
41.6,0
41.65,0
41.7,0
41.75,0.0068
41.8,0.0248
41.85,0.0388
41.9,0.0463
41.95,0.0531
42,0.0588
42.05,0.0658
42.1,0.0749
42.15,0.0857
42.2,0.0995
42.25,0.1068
42.3,0.1037
42.35,0.0922
42.4,0.0667
42.45,0.0509
42.5,0.0509
42.55,0.0509
42.6,0.0509
42.65,0.0412
42.7,0.0158
42.75,0
42.8,0
42.85,0
42.9,0
42.95,0
43,0
43.05,0.0118
43.1,0.043
43.15,0.0602
43.2,0.0545
43.25,0.0509
43.3,0.0509
43.35,0.0606
43.4,0.086
43.45,0.0943
43.5,0.0746
43.55,0.0602
43.6,0.0545
43.65,0.0481
43.7,0.0406
43.75,0.036
43.8,0.036
43.85,0.0445
43.9,0.0667
43.95,0.072
44,0.0498
44.05,0.0388
44.1,0.0463
44.15,0.0481
44.2,0.0406
44.25,0.0292
44.3,0.0112
44.35,0
44.4,0
44.45,0
44.5,0
44.55,0
44.6,0
44.65,0
44.7,0
44.75,0
44.8,0
44.85,0.0282
44.9,0.1024
44.95,0.1355
45,0.1016
45.05,0.0749
45.1,0.0601
45.15,0.0509
45.2,0.0509
45.25,0.0565
45.3,0.0713
45.35,0.0749
45.4,0.0601
45.45,0.0481
45.5,0.0406
45.55,0.041
45.6,0.0542
45.65,0.0573
45.7,0.0442
45.75,0.0388
45.8,0.0463
45.85,0.0509
45.9,0.0509
45.95,0.0509
46,0.0509
46.05,0.0481
46.1,0.0406
46.15,0.036
46.2,0.036
46.25,0.0292
46.3,0.0112
46.35,0
46.4,0
46.45,0
46.5,0
46.55,0
46.6,0
46.65,0
46.7,0
46.75,0.0118
46.8,0.043
46.85,0.0761
46.9,0.1123
46.95,0.1338
47,0.1313
47.05,0.1148
47.1,0.0754
47.15,0.0412
47.2,0.0158
47.25,0.0153
47.3,0.0555
47.35,0.072
47.4,0.0498
47.45,0.0445
47.5,0.0667
47.55,0.0789
47.6,0.0746
47.65,0.068
47.7,0.0574
47.75,0.0549
47.8,0.0655
47.85,0.0736
47.9,0.0779
47.95,0.0749
48,0.0601
48.05,0.0481
48.1,0.0406
48.15,0.041
48.2,0.0542
48.25,0.0573
48.3,0.0442
48.35,0.0497
48.4,0.0857
48.45,0.1042
48.5,0.0943
48.55,0.0833
48.6,0.0704
48.65,0.0573
48.7,0.0442
48.75,0.0548
48.8,0.1041
48.85,0.1296
48.9,0.1163
48.95,0.0943
49,0.0583
49.05,0.0292
49.1,0.0112
49.15,0.0097
49.2,0.0351
49.25,0.0412
49.3,0.0158
49.35,0
49.4,0
49.45,0
49.5,0
49.55,0
49.6,0
49.65,0
49.7,0
49.75,0
49.8,0
49.85,0
49.9,0
49.95,0
50,0
50.05,0
50.1,0
50.15,0
50.2,0
50.25,0
50.3,0
50.35,0
50.4,0
50.45,0
50.5,0
50.55,0
50.6,0
50.65,0.0097
50.7,0.0351
50.75,0.0481
50.8,0.0406
50.85,0.0388
50.9,0.0463
50.95,0.0509
51,0.0509
51.05,0.0565
51.1,0.0713
51.15,0.0749
51.2,0.0601
51.25,0.0412
51.3,0.0158
51.35,0
51.4,0
51.45,0
51.5,0
51.55,0
51.6,0
51.65,0
51.7,0
51.75,0
51.8,0
51.85,0
51.9,0
51.95,0
52,0
52.05,0.0097
52.1,0.0351
52.15,0.0412
52.2,0.0158
52.25,0
52.3,0
52.35,0
52.4,0
52.45,0
52.5,0
52.55,0
52.6,0
52.65,0
52.7,0
52.75,0
52.8,0
52.85,0
52.9,0
52.95,0
53,0
53.05,0.0068
53.1,0.0248
53.15,0.0388
53.2,0.0463
53.25,0.0481
53.3,0.0406
53.35,0.0388
53.4,0.0463
53.45,0.0509
53.5,0.0509
53.55,0.0412
53.6,0.0158
53.65,0.0168
53.7,0.0608
53.75,0.0714
53.8,0.0273
53.85,0.0118
53.9,0.043
53.95,0.0573
54,0.0442
54.05,0.0388
54.1,0.0463
54.15,0.0412
54.2,0.0158
54.25,0
54.3,0
54.35,0
54.4,0
54.45,0
54.5,0
54.55,0
54.6,0
54.65,0
54.7,0
54.75,0
54.8,0
54.85,0
54.9,0
54.95,0
55,0
55.05,0
55.1,0
55.15,0.0097
55.2,0.0351
55.25,0.0509
55.3,0.0509
55.35,0.0531
55.4,0.0588
55.45,0.0505
55.5,0.0193
55.55,0.0153
55.6,0.0555
55.65,0.0771
55.7,0.068
55.75,0.0658
55.8,0.0749
55.85,0.082
55.9,0.0858
55.95,0.0833
56,0.0704
56.05,0.0573
56.1,0.0442
56.15,0.036
56.2,0.036
56.25,0.0292
56.3,0.0112
56.35,0
56.4,0
56.45,0
56.5,0
56.55,0
56.6,0
56.65,0.0256
56.7,0.0929
56.75,0.121
56.8,0.0848
56.85,0.0573
56.9,0.0442
56.95,0.0445
57,0.0667
57.05,0.072
57.1,0.0498
57.15,0.0428
57.2,0.0608
57.25,0.0583
57.3,0.0223
57.35,0
57.4,0
57.45,0
57.5,0
57.55,0
57.6,0
57.65,0
57.7,0
57.75,0
57.8,0
57.85,0
57.9,0
57.95,0
58,0
58.05,0
58.1,0
58.15,0.0097
58.2,0.0351
58.25,0.0412
58.3,0.0158
58.35,0.0068
58.4,0.0248
58.45,0.0292
58.5,0.0112
58.55,0
58.6,0
58.65,0
58.7,0
58.75,0
58.8,0
58.85,0
58.9,0
58.95,0
59,0
59.05,0
59.1,0
59.15,0.0168
59.2,0.0608
59.25,0.0783
59.3,0.0522
59.35,0.036
59.4,0.036
59.45,0.036
59.5,0.036
59.55,0.0292
59.6,0.0112
59.65,0
59.7,0
59.75,0
59.8,0
59.85,0
59.9,0
59.95,0
60,0
60.05,0
60.1,0
60.15,0
60.2,0
60.25,0
60.3,0
60.35,0
60.4,0
60.45,0.0247
60.5,0.0896
60.55,0.117
60.6,0.0833
60.65,0.0573
60.7,0.0442
60.75,0.036
60.8,0.036
60.85,0.0388
60.9,0.0463
60.95,0.0509
61,0.0509
61.05,0.0509
61.1,0.0509
61.15,0.0412
61.2,0.0158
61.25,0
61.3,0
61.35,0
61.4,0
61.45,0
61.5,0
61.55,0
61.6,0
61.65,0.0205
61.7,0.0745
61.75,0.0972
61.8,0.0686
61.85,0.0509
61.9,0.0509
61.95,0.0509
62,0.0509
62.05,0.0481
62.1,0.0406
62.15,0.0388
62.2,0.0463
62.25,0.0412
62.3,0.0158
62.35,0
62.4,0
62.45,0.0068
62.5,0.0248
62.55,0.0388
62.6,0.0463
62.65,0.0481
62.7,0.0406
62.75,0.0292
62.8,0.0112
62.85,0.0097
62.9,0.0351
62.95,0.0565
63,0.0713
63.05,0.0805
63.1,0.0805
63.15,0.0908
63.2,0.1179
63.25,0.1244
63.3,0.0973
63.35,0.0899
63.4,0.1145
63.45,0.117
63.5,0.0833
63.55,0.0642
63.6,0.069
63.65,0.0736
63.7,0.0779
63.75,0.0789
63.8,0.0746
63.85,0.068
63.9,0.0574
63.95,0.058
64,0.0766
64.05,0.0851
64.1,0.077
64.15,0.0583
64.2,0.0223
64.25,0.0168
64.3,0.0608
64.35,0.0851
64.4,0.077
64.45,0.0736
64.5,0.0779
64.55,0.0789
64.6,0.0746
64.65,0.068
64.7,0.0574
64.75,0.0565
64.8,0.0713
64.85,0.0805
64.9,0.0805
64.95,0.0749
65,0.0601
65.05,0.0481
65.1,0.0406
65.15,0.041
65.2,0.0542
65.25,0.0505
65.3,0.0193
65.35,0
65.4,0
65.45,0
65.5,0
65.55,0
65.6,0
65.65,0.0097
65.7,0.0351
65.75,0.0509
65.8,0.0509
65.85,0.0481
65.9,0.0406
65.95,0.0292
66,0.0112
66.05,0
66.1,0
66.15,0
66.2,0
66.25,0
66.3,0
66.35,0
66.4,0
66.45,0
66.5,0
66.55,0
66.6,0
66.65,0
66.7,0
66.75,0
66.8,0
66.85,0
66.9,0
66.95,0
67,0
67.05,0
67.1,0
67.15,0
67.2,0
67.25,0
67.3,0
67.35,0
67.4,0
67.45,0
67.5,0
67.55,0
67.6,0
67.65,0
67.7,0
67.75,0
67.8,0
67.85,0
67.9,0
67.95,0
68,0
68.05,0
68.1,0
68.15,0
68.2,0
68.25,0
68.3,0
68.35,0
68.4,0
68.45,0
68.5,0
68.55,0
68.6,0
68.65,0.0068
68.7,0.0248
68.75,0.0459
68.8,0.072
68.85,0.0867
68.9,0.0829
68.95,0.0879
69,0.1073
69.05,0.1288
69.1,0.1535
69.15,0.1521
69.2,0.1079
69.25,0.082
69.3,0.0858
69.35,0.0811
69.4,0.0625
69.45,0.0733
69.5,0.1323
69.55,0.1573
69.6,0.1269
69.65,0.1181
69.7,0.1446
69.75,0.1457
69.8,0.1055
69.85,0.072
69.9,0.0498
69.95,0.036
70,0.036
70.05,0.0459
70.1,0.072
70.15,0.0783
70.2,0.0522
70.25,0.0388
70.3,0.0463
70.35,0.0531
70.4,0.0588
70.45,0.0673
70.5,0.0802
70.55,0.0908
70.6,0.0976
70.65,0.0992
70.7,0.0924
70.75,0.0908
70.8,0.0976
70.85,0.0943
70.9,0.0746
70.95,0.0602
71,0.0545
71.05,0.0509
71.1,0.0509
71.15,0.0703
71.2,0.1212
71.25,0.1464
71.3,0.1297
71.35,0.1257
71.4,0.1424
71.45,0.1519
71.5,0.1498
71.55,0.1355
71.6,0.1016
71.65,0.0805
71.7,0.0805
71.75,0.0908
71.8,0.1179
71.85,0.1318
71.9,0.1241
71.95,0.1036
72,0.0619
72.05,0.0497
72.1,0.0857
72.15,0.1028
72.2,0.089
72.25,0.0749
72.3,0.0601
72.35,0.0531
72.4,0.0588
72.45,0.0642
72.5,0.069
72.55,0.068
72.6,0.0574
72.65,0.0412
72.7,0.0158
72.75,0
72.8,0
72.85,0
72.9,0
72.95,0.0153
73,0.0555
73.05,0.0805
73.1,0.0805
73.15,0.072
73.2,0.0498
73.25,0.036
73.3,0.036
73.35,0.0428
73.4,0.0608
73.45,0.0736
73.5,0.0779
73.55,0.0868
73.6,0.1035
73.65,0.1019
73.7,0.0704
73.75,0.0509
73.8,0.0509
73.85,0.0481
73.9,0.0406
73.95,0.0292
74,0.0112
74.05,0
74.1,0
74.15,0
74.2,0
74.25,0.0237
74.3,0.086
74.35,0.1266
74.4,0.1316
74.45,0.1188
74.5,0.0769
74.55,0.058
74.6,0.0766
74.65,0.1056
74.7,0.1515
74.75,0.1526
74.8,0.0806
74.85,0.036
74.9,0.036
74.95,0.0388
75,0.0463
75.05,0.0412
75.1,0.0158
75.15,0
75.2,0
75.25,0
75.3,0
75.35,0
75.4,0
75.45,0
75.5,0
75.55,0.0097
75.6,0.0351
75.65,0.0509
75.7,0.0509
75.75,0.0481
75.8,0.0406
75.85,0.0292
75.9,0.0112
75.95,0
76,0
76.05,0
76.1,0
76.15,0.029
76.2,0.1054
76.25,0.1306
76.3,0.0722
76.35,0.0292
76.4,0.0112
76.45,0.0118
76.5,0.043
76.55,0.0505
76.6,0.0193
76.65,0
76.7,0
76.75,0.0097
76.8,0.0351
76.85,0.0509
76.9,0.0509
76.95,0.0412
77,0.0158
77.05,0.0137
77.1,0.0497
77.15,0.0583
77.2,0.0223
77.25,0.0256
77.3,0.0929
77.35,0.1381
77.4,0.1471
77.45,0.1306
77.5,0.0722
77.55,0.0445
77.6,0.0667
77.65,0.0805
77.7,0.0805
77.75,0.0805
77.8,0.0805
77.85,0.0749
77.9,0.0601
77.95,0.0565
78,0.0713
78.05,0.0908
78.1,0.1179
78.15,0.121
78.2,0.0848
78.25,0.0602
78.3,0.0545
78.35,0.0659
78.4,0.1053
78.45,0.117
78.5,0.0833
78.55,0.0624
78.6,0.0624
78.65,0.0673
78.7,0.0802
78.75,0.0882
78.8,0.0882
78.85,0.0811
78.9,0.0625
78.95,0.0509
79,0.0509
79.05,0.0412
79.1,0.0158
79.15,0
79.2,0
79.25,0
79.3,0
79.35,0.0153
79.4,0.0555
79.45,0.0857
79.5,0.0995
79.55,0.0943
79.6,0.0583
79.65,0.0445
79.7,0.0667
79.75,0.072
79.8,0.0498
79.85,0.036
79.9,0.036
79.95,0.036
80,0.036
80.05,0.0459
80.1,0.072
80.15,0.0714
80.2,0.0273
80.25,0.0168
80.3,0.0608
80.35,0.0867
80.4,0.0829
80.45,0.072
80.5,0.0498
80.55,0.0292
80.6,0.0112
80.65,0
80.7,0
80.75,0.0097
80.8,0.0351
80.85,0.0481
80.9,0.0406
80.95,0.041
81,0.0542
81.05,0.0602
81.1,0.0545
81.15,0.0531
81.2,0.0588
81.25,0.0658
81.3,0.0749
81.35,0.0749
81.4,0.0601
81.45,0.0412
81.5,0.0158
81.55,0
81.6,0
81.65,0
81.7,0
81.75,0
81.8,0
81.85,0.0097
81.9,0.0351
81.95,0.0481
82,0.0406
82.05,0.0428
82.1,0.0608
82.15,0.0583
82.2,0.0223
82.25,0
82.3,0
82.35,0
82.4,0
82.45,0
82.5,0
82.55,0
82.6,0
82.65,0
82.7,0
82.75,0
82.8,0
82.85,0
82.9,0
82.95,0
83,0
83.05,0
83.1,0
83.15,0
83.2,0
83.25,0
83.3,0
83.35,0
83.4,0
83.45,0.0097
83.5,0.0351
83.55,0.0481
83.6,0.0406
83.65,0.0445
83.7,0.0667
83.75,0.0805
83.8,0.0805
83.85,0.0749
83.9,0.0601
83.95,0.0509
84,0.0509
84.05,0.0412
84.1,0.0158
84.15,0.0097
84.2,0.0351
84.25,0.0412
84.3,0.0158
84.35,0
84.4,0
84.45,0
84.5,0
84.55,0
84.6,0
84.65,0.0193
84.7,0.0703
84.75,0.0922
84.8,0.0667
84.85,0.0481
84.9,0.0406
84.95,0.0292
85,0.0112
85.05,0
85.1,0
85.15,0
85.2,0
85.25,0
85.3,0
85.35,0
85.4,0
85.45,0.0153
85.5,0.0555
85.55,0.0868
85.6,0.1035
85.65,0.1149
85.7,0.1177
85.75,0.1064
85.8,0.0721
85.85,0.0531
85.9,0.0588
85.95,0.0573
86,0.0442
86.05,0.0428
86.1,0.0608
86.15,0.0652
86.2,0.0472
86.25,0.0292
86.3,0.0112
86.35,0
86.4,0
86.45,0
86.5,0
86.55,0
86.6,0
86.65,0
86.7,0
86.75,0
86.8,0
86.85,0
86.9,0
86.95,0
87,0
87.05,0.0168
87.1,0.0608
